GEO_ID,NAME,P2_001N,P2_002N,county
0500000US01001,"Autauga County, Alabama",58805,2117,01001
0500000US01003,"Baldwin County, Alabama",231767,12686,01003
0500000US01005,"Barbour County, Alabama",25223,1510,01005
0500000US01007,"Bibb County, Alabama",22293,740,01007
0500000US01009,"Blount County, Alabama",59134,5771,01009
0500000US01011,"Bullock County, Alabama",10357,503,01011
0500000US01013,"Butler County, Alabama",19051,260,01013
0500000US01015,"Calhoun County, Alabama",116441,5010,01015
0500000US01017,"Chambers County, Alabama",34772,1237,01017
0500000US01019,"Cherokee County, Alabama",24971,400,01019
0500000US01021,"Chilton County, Alabama",45014,4418,01021
0500000US01023,"Choctaw County, Alabama",12665,113,01023
0500000US01025,"Clarke County, Alabama",23087,206,01025
0500000US01027,"Clay County, Alabama",14236,449,01027
0500000US01029,"Cleburne County, Alabama",15056,284,01029
0500000US01031,"Coffee County, Alabama",53465,4887,01031
0500000US01033,"Colbert County, Alabama",57227,1732,01033
0500000US01035,"Conecuh County, Alabama",11597,256,01035
0500000US01037,"Coosa County, Alabama",10387,201,01037
0500000US01039,"Covington County, Alabama",37570,654,01039
0500000US01041,"Crenshaw County, Alabama",13194,187,01041
0500000US01043,"Cullman County, Alabama",87866,4146,01043
0500000US01045,"Dale County, Alabama",49326,3254,01045
0500000US01047,"Dallas County, Alabama",38462,296,01047
0500000US01049,"DeKalb County, Alabama",71608,11744,01049
0500000US01051,"Elmore County, Alabama",87977,2793,01051
0500000US01053,"Escambia County, Alabama",36757,751,01053
0500000US01055,"Etowah County, Alabama",103436,4895,01055
0500000US01057,"Fayette County, Alabama",16321,396,01057
0500000US01059,"Franklin County, Alabama",32113,6259,01059
0500000US01061,"Geneva County, Alabama",26659,1296,01061
0500000US01063,"Greene County, Alabama",7730,61,01063
0500000US01065,"Hale County, Alabama",14785,149,01065
0500000US01067,"Henry County, Alabama",17146,334,01067
0500000US01069,"Houston County, Alabama",107202,4481,01069
0500000US01071,"Jackson County, Alabama",52579,1681,01071
0500000US01073,"Jefferson County, Alabama",674721,34856,01073
0500000US01075,"Lamar County, Alabama",13972,208,01075
0500000US01077,"Lauderdale County, Alabama",93564,3078,01077
0500000US01079,"Lawrence County, Alabama",33073,895,01079
0500000US01081,"Lee County, Alabama",174241,9135,01081
0500000US01083,"Limestone County, Alabama",103570,7248,01083
0500000US01085,"Lowndes County, Alabama",10311,140,01085
0500000US01087,"Macon County, Alabama",19532,361,01087
0500000US01089,"Madison County, Alabama",388153,24936,01089
0500000US01091,"Marengo County, Alabama",19323,368,01091
0500000US01093,"Marion County, Alabama",29341,863,01093
0500000US01095,"Marshall County, Alabama",97612,15658,01095
0500000US01097,"Mobile County, Alabama",414809,13425,01097
0500000US01099,"Monroe County, Alabama",19772,207,01099
0500000US01101,"Montgomery County, Alabama",228954,10684,01101
0500000US01103,"Morgan County, Alabama",123421,12377,01103
0500000US01105,"Perry County, Alabama",8511,89,01105
0500000US01107,"Pickens County, Alabama",19123,1053,01107
0500000US01109,"Pike County, Alabama",33009,905,01109
0500000US01111,"Randolph County, Alabama",21967,605,01111
0500000US01113,"Russell County, Alabama",59183,3195,01113
0500000US01115,"St. Clair County, Alabama",91103,2575,01115
