year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,1001,Hillary Clinton,Donald J. Trump,5936,23.77%,18172,72.77%
2016,1003,Hillary Clinton,Donald J. Trump,18458,19.39%,72883,76.55%
2016,1005,Hillary Clinton,Donald J. Trump,4871,46.53%,5454,52.10%
2016,1007,Hillary Clinton,Donald J. Trump,1874,21.25%,6738,76.40%
2016,1009,Hillary Clinton,Donald J. Trump,2156,8.43%,22859,89.33%
2016,1011,Hillary Clinton,Donald J. Trump,3530,74.95%,1140,24.20%
2016,1013,Hillary Clinton,Donald J. Trump,3726,42.67%,4901,56.13%
2016,1015,Hillary Clinton,Donald J. Trump,13242,27.67%,32865,68.66%
2016,1017,Hillary Clinton,Donald J. Trump,5784,41.61%,7843,56.42%
2016,1019,Hillary Clinton,Donald J. Trump,1547,14.41%,8953,83.42%
2016,1021,Hillary Clinton,Donald J. Trump,2911,15.85%,15081,82.10%
2016,1023,Hillary Clinton,Donald J. Trump,3109,42.64%,4106,56.31%
2016,1025,Hillary Clinton,Donald J. Trump,5749,44.12%,7140,54.79%
2016,1027,Hillary Clinton,Donald J. Trump,1237,18.67%,5245,79.18%
2016,1029,Hillary Clinton,Donald J. Trump,684,10.37%,5764,87.43%
2016,1031,Hillary Clinton,Donald J. Trump,4221,20.33%,15875,76.44%
2016,1033,Hillary Clinton,Donald J. Trump,7312,29.35%,16746,67.21%
2016,1035,Hillary Clinton,Donald J. Trump,3080,46.77%,3420,51.94%
2016,1037,Hillary Clinton,Donald J. Trump,1782,33.93%,3381,64.38%
2016,1039,Hillary Clinton,Donald J. Trump,2387,14.97%,13267,83.23%
2016,1041,Hillary Clinton,Donald J. Trump,1664,26.55%,4513,72.01%
2016,1043,Hillary Clinton,Donald J. Trump,3798,10.03%,32989,87.10%
2016,1045,Hillary Clinton,Donald J. Trump,4413,23.54%,13808,73.65%
2016,1047,Hillary Clinton,Donald J. Trump,12836,68.31%,5789,30.81%
2016,1049,Hillary Clinton,Donald J. Trump,3622,14.02%,21405,82.88%
2016,1051,Hillary Clinton,Donald J. Trump,8443,22.66%,27634,74.17%
2016,1053,Hillary Clinton,Donald J. Trump,4605,31.02%,9935,66.92%
2016,1055,Hillary Clinton,Donald J. Trump,10442,23.64%,32353,73.26%
2016,1057,Hillary Clinton,Donald J. Trump,1362,16.51%,6712,81.37%
2016,1059,Hillary Clinton,Donald J. Trump,2197,18.25%,9466,78.62%
2016,1061,Hillary Clinton,Donald J. Trump,1525,12.97%,9994,85.00%
2016,1063,Hillary Clinton,Donald J. Trump,4013,82.23%,838,17.17%
2016,1065,Hillary Clinton,Donald J. Trump,4775,59.39%,3173,39.47%
2016,1067,Hillary Clinton,Donald J. Trump,2292,28.39%,5632,69.77%
2016,1069,Hillary Clinton,Donald J. Trump,10664,25.01%,30728,72.07%
2016,1071,Hillary Clinton,Donald J. Trump,3673,17.50%,16672,79.45%
2016,1073,Hillary Clinton,Donald J. Trump,156873,51.57%,134768,44.30%
2016,1075,Hillary Clinton,Donald J. Trump,1036,14.87%,5823,83.59%
2016,1077,Hillary Clinton,Donald J. Trump,9952,25.18%,27899,70.59%
2016,1079,Hillary Clinton,Donald J. Trump,3627,24.46%,10833,73.05%
2016,1081,Hillary Clinton,Donald J. Trump,21230,35.87%,34617,58.48%
2016,1083,Hillary Clinton,Donald J. Trump,9468,23.50%,29067,72.14%
2016,1085,Hillary Clinton,Donald J. Trump,4883,73.06%,1751,26.20%
2016,1087,Hillary Clinton,Donald J. Trump,7566,82.78%,1431,15.66%
2016,1089,Hillary Clinton,Donald J. Trump,62822,38.45%,89520,54.79%
2016,1091,Hillary Clinton,Donald J. Trump,5615,51.07%,5233,47.60%
2016,1093,Hillary Clinton,Donald J. Trump,1432,11.03%,11274,86.83%
2016,1095,Hillary Clinton,Donald J. Trump,4917,13.92%,29233,82.78%
2016,1097,Hillary Clinton,Donald J. Trump,72186,41.79%,95116,55.06%
2016,1099,Hillary Clinton,Donald J. Trump,4332,42.18%,5795,56.42%
2016,1101,Hillary Clinton,Donald J. Trump,58916,61.45%,34003,35.46%
2016,1103,Hillary Clinton,Donald J. Trump,11254,22.22%,37486,74.02%
2016,1105,Hillary Clinton,Donald J. Trump,3824,72.45%,1407,26.66%
2016,1107,Hillary Clinton,Donald J. Trump,3972,41.63%,5456,57.18%
2016,1109,Hillary Clinton,Donald J. Trump,5056,38.40%,7693,58.42%
2016,1111,Hillary Clinton,Donald J. Trump,2291,22.49%,7705,75.64%
2016,1113,Hillary Clinton,Donald J. Trump,9579,49.75%,9210,47.83%
2016,1115,Hillary Clinton,Donald J. Trump,5589,14.55%,31651,82.42%
2016,1117,Hillary Clinton,Donald J. Trump,22977,22.69%,73020,72.12%
2016,1119,Hillary Clinton,Donald J. Trump,4746,74.03%,1581,24.66%
2016,1121,Hillary Clinton,Donald J. Trump,12121,36.28%,20614,61.71%
2016,1123,Hillary Clinton,Donald J. Trump,5519,28.32%,13594,69.76%
2016,1125,Hillary Clinton,Donald J. Trump,31762,38.41%,47723,57.71%
2016,1127,Hillary Clinton,Donald J. Trump,4497,15.26%,24266,82.34%
2016,1129,Hillary Clinton,Donald J. Trump,2374,27.82%,6042,70.81%
2016,1131,Hillary Clinton,Donald J. Trump,4339,70.86%,1742,28.45%
2016,1133,Hillary Clinton,Donald J. Trump,872,8.46%,9228,89.48%
2016,4001,Hillary Clinton,Donald J. Trump,17083,61.76%,8240,29.79%
2016,4003,Hillary Clinton,Donald J. Trump,17450,34.89%,28092,56.17%
2016,4005,Hillary Clinton,Donald J. Trump,32404,54.20%,21108,35.31%
2016,4007,Hillary Clinton,Donald J. Trump,7003,31.10%,14182,62.99%
2016,4009,Hillary Clinton,Donald J. Trump,3301,26.88%,8025,65.34%
2016,4011,Hillary Clinton,Donald J. Trump,1092,33.09%,1892,57.33%
2016,4012,Hillary Clinton,Donald J. Trump,1575,26.47%,4003,67.27%
2016,4013,Hillary Clinton,Donald J. Trump,702907,44.83%,747361,47.67%
2016,4015,Hillary Clinton,Donald J. Trump,17455,21.83%,58282,72.90%
2016,4017,Hillary Clinton,Donald J. Trump,16459,40.85%,20577,51.07%
2016,4019,Hillary Clinton,Donald J. Trump,224661,53.28%,167428,39.71%
2016,4021,Hillary Clinton,Donald J. Trump,47892,36.97%,72819,56.21%
2016,4023,Hillary Clinton,Donald J. Trump,11690,71.14%,3897,23.71%
2016,4025,Hillary Clinton,Donald J. Trump,35590,31.10%,71330,62.32%
2016,4027,Hillary Clinton,Donald J. Trump,24605,46.42%,25165,47.47%
2016,5001,Hillary Clinton,Donald J. Trump,1939,31.21%,3826,61.59%
2016,5003,Hillary Clinton,Donald J. Trump,2408,29.79%,5338,66.04%
2016,5005,Hillary Clinton,Donald J. Trump,4169,21.09%,14682,74.28%
2016,5007,Hillary Clinton,Donald J. Trump,28005,28.92%,60871,62.87%
2016,5009,Hillary Clinton,Donald J. Trump,2926,18.16%,12235,75.94%
2016,5011,Hillary Clinton,Donald J. Trump,1317,36.05%,2164,59.24%
2016,5013,Hillary Clinton,Donald J. Trump,639,28.16%,1556,68.58%
