"GEO_ID","county","NAME","state","density","margin","pop_hispanic","pop","rep_s_16","rep_s_20","dem_s_16","dem_s_20"
"0500000US48427","48427","Starr County, Texas","Texas",0.98,28.12,64393,65920,18.94,47.06,79.12,52.06
"0500000US48323","48323","Maverick County, Texas","Texas",0.95,24.12,54936,57887,20.72,44.84,76.52,54.29
"0500000US16065","16065","Madison County, Idaho","Texas",0.1,22.13,5248,52913,56.99,79.12,29.76,15.56
"0500000US48247","48247","Jim Hogg County, Texas","Texas",0.88,20.62,4281,4838,20.29,40.91,77.16,58.79
"0500000US48261","48261","Kenedy County, Texas","Texas",0.75,20.3,261,350,45.16,65.46,53.23,33.51
"0500000US49005","49005","Cache County, Utah","Texas",0.11,19.92,15076,133154,45.25,65.17,29.31,28.53
"0500000US48505","48505","Zapata County, Texas","Texas",0.94,19.73,12999,13889,32.75,52.48,65.66,47.13
"0500000US49023","49023","Juab County, Utah","Texas",0.05,19.21,574,11786,66.97,86.18,18.05,10.93
"0500000US49029","49029","Morgan County, Utah","Texas",0.03,17.38,338,12295,61.05,78.43,22.94,16.44
"0500000US49003","49003","Box Elder County, Utah","Texas",0.1,17.34,5537,57666,61.53,78.87,21.42,16.37
"0500000US49039","49039","Sanpete County, Utah","Texas",0.11,17.07,3043,28437,65.12,82.19,19.89,14.1
"0500000US48131","48131","Duval County, Texas","Texas",0.81,16.78,7962,9831,31.57,48.35,66.77,50.96
"0500000US16041","16041","Franklin County, Idaho","Texas",0.07,16.77,1023,14194,70.94,87.71,16.58,9.86
"0500000US48389","48389","Reeves County, Texas","Texas",0.85,16.6,12510,14748,44.5,61.1,52.1,37.82
"0500000US48047","48047","Brooks County, Texas","Texas",0.88,16.57,6242,7076,23.61,40.18,74.61,59.18
"0500000US49049","49049","Utah County, Utah","Texas",0.13,16.51,88531,659399,50.18,66.69,29.72,26.3
"0500000US49045","49045","Tooele County, Utah","Texas",0.13,15.88,9522,72698,50.79,66.67,21.69,28.37
"0500000US49011","49011","Davis County, Utah","Texas",0.11,15.69,39295,362679,44.35,60.04,28.32,33.1
"0500000US48479","48479","Webb County, Texas","Texas",0.95,15.32,254354,267114,22.48,37.8,73.47,61.05
"0500000US48137","48137","Edwards County, Texas","Texas",0.5,14.25,718,1422,69.52,83.77,28.24,15.76
"0500000US49027","49027","Millard County, Utah","Texas",0.14,14.04,1774,12975,73.26,87.3,13.65,10.08
"0500000US48489","48489","Willacy County, Texas","Texas",0.87,13.63,17611,20164,30.36,43.99,67.16,56.01
"0500000US48507","48507","Zavala County, Texas","Texas",0.92,13.59,8944,9670,20.44,34.03,77.62,65.4
"0500000US49001","49001","Beaver County, Utah","Texas",0.15,13.57,1066,7072,73.37,86.94,12.89,11.52
"0500000US16071","16071","Oneida County, Idaho","Texas",0.04,13.57,178,4564,74.03,87.6,13.1,10.15
"0500000US49033","49033","Rich County, Utah","Texas",0.04,13.22,97,2510,71.29,84.51,15.56,13.15
"0500000US16033","16033","Clark County, Idaho","Texas",0.36,13.16,288,790,71.73,84.89,15.55,13.18
"0500000US48283","48283","La Salle County, Texas","Texas",0.74,13.14,4908,6664,42.35,55.49,54.83,43.72
"0500000US48215","48215","Hidalgo County, Texas","Texas",0.92,13.09,800001,870781,27.89,40.98,68.12,58.04
"0500000US16007","16007","Bear Lake County, Idaho","Texas",0.03,12.64,208,6372,75.24,87.88,12.5,10.55
"0500000US12086","12086","Miami-Dade County, Florida","Texas",0.69,12.15,1856938,2701767,33.83,45.98,63.22,53.31
"0500000US16051","16051","Jefferson County, Idaho","Texas",0.11,11.8,3256,30891,73.52,85.32,13.59,11.71
"0500000US49057","49057","Weber County, Utah","Texas",0.19,11.76,48742,262223,46.78,58.54,26.89,36.13
"0500000US48109","48109","Culberson County, Texas","Texas",0.75,11.52,1645,2188,36.51,48.03,59.19,50.69
